record,enterprise,metro,tract_pct_minority,tract_income_ratio,borrower_income_ratio,ltv,loan_purpose,fed_guarantee,borrower_race,borrower_gender,coborrower_race,coborrower gender,units,affordability
696120,2,1,3,3,3,4,1,4,6,9,1,5,1,4
1043888,2,1,1,3,3,2,1,4,9,9,1,2,1,4
778619,2,1,2,2,3,4,1,4,5,9,1,5,1,4
85106,2,1,2,1,3,4,1,4,5,5,1,2,1,4
477652,2,1,3,2,3,4,1,4,9,7,1,2,1,4
943845,2,1,3,3,2,1,1,4,2,9,2,5,1,4
264498,2,1,3,2,3,2,8,4,5,9,2,5,1,4
332592,2,1,1,2,3,1,1,4,5,5,1,2,1,4
552155,2,1,1,3,3,4,1,4,9,9,1,2,1,4
472721,2,1,3,3,3,2,1,4,5,9,1,5,1,4
699228,2,1,2,2,2,2,8,4,5,9,2,5,1,4
64649,2,1,2,3,3,4,1,4,5,9,2,5,1,4
1002757,2,1,2,3,3,2,8,4,5,9,1,5,1,4
568071,2,1,1,3,3,2,1,4,9,9,3,3,1,4
666653,2,1,2,2,3,4,1,4,5,9,2,5,1,4
1047539,2,1,2,1,3,4,1,4,5,9,2,5,1,4
175612,2,1,2,2,3,1,8,4,7,9,1,5,1,4
680705,2,1,2,2,3,2,1,4,5,5,2,1,1,4
840400,2,1,2,2,2,3,1,4,5,9,2,5,1,4
927334,2,1,1,3,3,2,1,4,5,5,1,2,1,4
397113,2,1,1,3,2,1,8,4,9,9,3,5,1,4
548884,2,1,2,2,1,1,1,4,2,9,1,5,1,3
114509,2,1,2,3,3,2,1,4,5,9,1,5,1,4
1135095,2,1,3,2,3,1,1,4,7,9,1,5,1,4
207795,2,1,2,3,3,2,8,4,5,5,1,2,1,4
1087528,2,1,1,2,3,4,1,4,5,5,1,2,1,4
580955,2,1,2,1,2,3,8,4,5,5,1,2,1,1
635417,2,1,2,3,3,2,1,4,5,9,1,5,1,4
639593,2,1,2,2,3,4,1,4,5,5,1,2,1,4
270079,2,1,3,1,3,2,8,4,3,3,2,1,1,4
1175893,2,1,2,3,3,2,1,4,2,9,1,5,1,4
979570,2,1,2,2,3,4,1,4,7,5,1,2,1,4
487344,2,1,2,2,3,5,1,4,7,7,1,2,1,4
306266,2,1,2,3,3,2,1,4,9,9,2,1,1,4
564011,2,1,2,3,3,4,1,4,5,9,2,5,1,4
866048,2,1,1,3,3,4,1,4,5,5,1,2,1,4
343526,2,1,3,1,3,2,8,4,7,9,2,5,1,4
891044,2,1,3,3,3,2,1,4,9,9,3,5,1,4
1124565,2,1,1,2,3,2,8,4,5,9,1,5,1,4
1063319,2,1,1,2,3,2,1,4,5,5,1,2,1,4
604459,2,1,3,3,3,2,1,4,5,5,2,1,1,4
524927,2,1,1,2,3,4,1,4,5,9,1,5,1,4
237733,2,1,3,1,2,3,8,4,7,7,1,2,1,1
504515,2,1,2,2,3,3,1,4,5,5,1,2,1,4
590682,2,1,3,3,3,1,8,4,7,9,2,5,1,4
409603,2,1,1,1,3,2,1,4,5,9,2,5,1,4
1014743,2,0,1,2,3,2,1,4,7,9,1,5,1,4
762419,2,1,3,2,2,2,8,4,5,9,1,5,1,4
986602,2,1,3,3,3,1,8,4,7,9,2,5,1,4
1047102,2,1,3,2,2,4,1,4,7,9,1,5,1,4
940070,2,1,1,1,3,2,1,4,5,9,2,5,1,4
181033,2,1,2,2,3,3,1,4,9,9,3,5,1,4
715650,2,1,3,1,2,4,1,4,7,9,2,5,1,1
444145,2,1,1,3,3,2,1,4,5,5,1,2,1,4
744555,2,1,1,2,2,5,1,4,5,9,1,5,1,4
693073,2,1,2,2,2,5,1,4,9,9,2,5,1,4
818328,2,1,1,2,3,2,1,4,5,5,1,2,1,4
1059437,2,1,2,2,2,4,1,4,5,9,2,5,1,4
716573,2,1,2,3,3,2,1,4,5,5,1,2,1,4
296140,2,1,1,3,3,3,8,4,5,5,1,2,1,4
1086564,2,1,1,3,3,2,1,4,5,9,2,5,1,4
55291,2,1,2,2,3,2,1,4,5,9,1,5,1,4
760812,2,1,2,3,3,1,8,4,5,9,2,5,1,4
648185,2,1,2,1,2,1,1,4,5,9,1,5,1,1
73903,2,1,1,2,3,2,1,4,5,9,1,5,1,4
376481,2,1,1,2,3,4,1,4,5,9,1,5,1,4
539441,2,0,2,2,3,2,8,4,9,9,1,5,1,4
639716,2,1,2,1,2,2,8,4,5,9,2,5,1,1
1045856,2,1,1,2,3,4,1,4,5,9,2,5,1,4
857080,2,1,3,1,3,2,8,4,5,9,1,5,1,4
633826,2,1,3,1,3,4,1,4,6,9,1,5,1,4
1126671,2,1,2,3,3,2,1,4,5,5,1,2,1,4
67526,2,1,2,2,2,2,8,4,2,9,1,5,1,4
551209,2,1,3,2,3,4,1,4,5,9,1,5,1,4
548300,2,0,3,2,3,1,8,4,5,5,1,2,1,4
361722,2,1,3,3,3,2,8,4,9,9,1,5,1,4
590487,2,1,3,1,3,4,1,4,5,9,1,5,1,4
1051023,2,1,2,2,3,4,1,4,5,5,2,1,1,4
193955,2,0,2,2,1,1,8,4,5,9,2,5,1,3
650026,2,1,3,3,3,2,8,4,5,9,1,5,1,4
884017,2,1,3,3,3,5,1,4,5,9,1,5,1,4
423249,2,1,2,3,3,2,8,4,5,9,2,5,1,4
821534,2,1,2,3,3,1,1,4,5,9,2,5,1,4
270558,2,1,1,2,3,5,1,4,5,9,2,5,1,4
524435,2,1,3,3,3,2,1,4,2,9,1,5,1,4
894213,2,1,1,3,3,4,1,4,5,9,1,5,1,4
234378,2,1,2,2,2,2,8,4,3,9,1,5,1,4
67736,2,1,1,2,3,4,1,4,5,9,2,5,1,4
85254,2,1,1,3,3,1,8,4,5,5,1,2,1,4
760553,2,1,3,2,3,1,8,4,5,5,1,2,1,4
537838,2,1,2,2,3,4,1,4,6,6,1,2,1,4
180599,2,1,2,3,2,2,1,4,9,9,3,3,1,4
340744,2,1,2,3,3,2,8,4,9,9,3,3,1,4
904157,2,1,3,1,1,4,1,4,5,9,1,5,1,2
482888,2,1,3,3,2,1,8,4,5,5,1,2,1,4
954119,2,1,3,3,3,4,1,4,5,9,1,5,1,4
470861,2,1,3,1,2,4,1,4,7,9,2,5,1,1
670204,2,1,3,2,3,2,8,4,5,5,1,2,1,4
85534,2,1,3,3,3,3,1,4,9,9,1,2,1,4
1202618,2,0,1,2,2,1,1,4,5,9,1,5,1,4
713966,2,0,3,2,3,2,8,4,5,9,1,5,1,4
551084,2,1,3,1,2,2,1,4,5,9,1,5,1,1
494963,2,1,2,2,3,2,1,4,5,9,2,5,1,4
400550,2,0,1,2,3,2,1,4,5,9,1,5,1,4
198337,2,1,2,3,3,4,1,4,5,9,1,5,1,4
1000687,2,1,3,3,3,2,1,4,5,9,1,5,1,4
901737,2,1,3,3,3,3,8,4,3,9,2,5,1,4
307390,2,1,3,2,3,2,1,4,5,9,1,5,1,4
332974,2,1,2,2,3,1,8,4,5,5,2,1,1,4
1042121,2,0,1,2,3,2,1,4,5,5,1,2,1,4
73733,2,0,1,1,3,4,1,4,5,5,2,1,1,4
50270,2,1,2,2,3,2,8,4,5,5,1,2,1,4
718289,2,1,2,1,2,5,1,4,9,9,3,5,1,1
630363,2,1,2,3,3,2,1,4,5,9,2,5,1,4
843917,2,1,3,2,3,4,1,4,2,9,1,5,1,4
1053732,2,1,3,2,2,4,1,4,5,9,2,5,1,4
128349,2,1,1,3,3,4,1,4,5,5,1,2,1,4
1124452,2,1,3,1,2,2,1,4,5,9,2,5,1,1
842701,2,1,1,3,3,2,1,4,5,5,2,1,1,4
642630,2,1,3,3,3,5,1,4,3,9,1,5,1,4
889879,2,1,3,1,1,4,1,4,7,9,2,5,1,2
763036,2,1,1,2,2,2,1,4,5,5,1,2,1,4
497468,2,1,3,3,3,3,8,4,9,9,3,5,1,4
591173,2,1,2,1,2,4,1,4,5,9,1,5,1,1
1053636,2,1,2,3,3,2,1,4,5,9,1,5,1,4
1013808,2,1,3,1,1,2,1,4,2,9,1,5,1,2
523022,2,1,1,2,1,4,1,4,2,9,1,5,1,3
741591,2,1,3,1,3,4,1,4,5,5,2,1,1,4
973162,2,1,1,2,3,4,1,4,5,5,1,2,1,4
1024767,2,0,2,2,3,4,1,4,5,9,1,5,1,4
1044073,2,1,2,3,3,2,1,4,5,9,2,5,1,4
829896,2,1,3,2,1,2,8,4,1,9,2,5,1,3
1082231,2,1,2,2,2,2,8,4,9,9,3,5,1,4
646985,2,1,3,3,3,1,1,4,5,9,1,5,1,4
322517,2,0,1,2,3,2,1,4,9,9,3,5,1,4
127578,2,1,2,1,2,2,8,4,5,5,1,2,1,1
387521,2,1,3,1,3,2,1,4,5,9,2,5,1,4
131212,2,0,2,2,2,4,1,4,7,9,1,5,1,4
848366,2,1,2,3,3,2,1,4,5,5,1,2,1,4
34053,2,1,2,3,3,1,1,4,5,5,1,2,1,4
1142079,2,1,3,2,3,4,1,4,5,9,1,5,1,4
847553,2,1,3,2,3,2,1,4,5,5,2,1,1,4
1197285,2,1,2,3,3,4,1,4,5,5,2,1,1,4
244744,2,1,2,3,1,1,8,4,9,9,3,3,1,3
752323,2,1,3,1,3,3,1,4,5,9,1,5,1,4
39519,2,0,2,3,3,2,1,4,5,5,1,2,1,4
579388,2,1,3,1,3,4,1,4,7,7,1,2,1,4
558138,2,1,1,3,3,4,1,4,5,9,2,5,1,4
565474,2,1,1,2,3,1,1,4,5,9,2,5,1,4
554803,2,1,2,3,3,2,1,4,9,9,3,3,1,4
710228,2,1,3,2,3,4,1,4,9,9,3,3,1,4
804576,2,1,1,2,2,1,8,4,5,5,1,2,1,4
548870,2,1,3,1,3,2,1,4,5,5,1,1,1,4
255979,2,1,1,2,2,2,8,4,5,9,2,5,1,4
728386,2,1,2,3,3,4,1,4,5,9,1,5,1,4
1097781,2,1,1,3,3,1,1,4,5,5,1,2,1,4
603095,2,1,2,3,3,2,8,4,2,9,1,5,1,4
284530,2,1,2,3,3,2,8,4,7,7,1,2,1,4
1183943,2,1,1,2,3,1,8,4,9,9,3,5,1,4
675872,2,1,1,3,3,4,1,4,5,9,1,5,1,4
1106742,2,1,3,3,2,2,8,4,3,9,2,5,1,4
384884,2,1,1,2,1,1,8,4,5,9,2,5,1,3
702952,2,1,1,2,2,2,8,4,5,5,2,1,1,4
464712,2,1,2,3,3,4,1,4,5,9,1,5,1,4
143469,2,1,2,2,1,2,8,4,5,5,1,2,1,3
839776,2,1,2,3,3,1,1,4,5,5,1,2,1,4
140396,2,1,3,3,3,4,1,4,5,9,2,5,1,4
113032,2,1,2,2,3,2,1,4,5,5,2,1,1,4
1090464,2,1,2,3,3,1,1,4,5,9,2,5,1,4
332577,2,1,2,3,3,2,1,4,5,5,1,2,1,4
942559,2,1,3,2,2,5,1,4,3,9,2,5,1,4
833478,2,1,1,3,3,1,1,4,5,5,1,2,1,4
815331,2,0,3,1,3,2,1,4,5,9,2,5,1,4
896718,2,1,3,3,3,2,8,4,5,9,2,5,1,4
368703,2,1,2,1,1,2,1,4,5,9,1,5,1,2
968877,2,1,3,3,3,4,1,4,3,9,2,5,1,4
1146954,2,1,2,3,3,4,1,4,7,3,2,1,1,4
688282,2,1,3,3,3,1,1,4,2,9,2,5,1,4
833582,2,1,1,2,3,4,1,4,5,9,1,5,1,4
1076552,2,1,1,2,3,4,1,4,5,5,1,2,1,4
752924,2,1,2,3,3,2,8,4,5,9,2,5,1,4
881543,2,1,2,1,3,1,1,4,5,9,1,5,1,4
85606,2,1,2,2,3,4,1,4,5,5,1,2,1,4
1164284,2,1,2,2,3,3,8,4,9,9,3,3,1,4
794419,2,1,2,3,2,2,1,4,5,9,2,5,1,4
513929,2,1,3,2,3,2,1,4,2,9,2,5,1,4
608225,2,0,1,2,3,3,1,4,5,9,2,5,1,4
698696,2,1,3,2,3,2,1,4,7,9,1,5,1,4
